date,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10
2024/4/8 0:00,11407165.41,57814282.24,1251891.2,13642940.26,9456392.192,9531872.256,1238227.64,638766.384,62166,11360520.54
2024/4/8 1:00,11480306.69,19515019.26,399460.352,23837789.18,9671294.976,9646431.232,1180123.008,863221.256,67236,11467812.42
2024/4/8 2:00,11348427.19,12198112.26,187804.672,17001432.16,9884419.072,9618012.16,1108792.736,870772.936,67080,11361636.32
2024/4/8 3:00,11380500.61,15431367.68,88183.808,13622929.95,9884418.048,10094797.82,1136861.008,840943.04,66534,11345542.14
2024/4/8 4:00,11489873.92,25196362.75,75943.936,11411622.05,9805902.848,9857776.64,1116814.2,872039.528,67158,11356166.5
2024/4/8 5:00,11364426.52,58686441.47,389354.496,11770043.02,9773784.064,9584262.144,1120659.592,735052.592,67002,11352264.7
2024/4/8 6:00,11432842.24,120927512.6,645064.704,14840665.94,9114511.36,9324082.176,1108439.992,431780.752,66534,11434662.02
2024/4/8 7:00,11421942.6,258319559.7,2254292.992,24191434.02,8483733.504,8619004.928,1154413.16,573733.04,67236,11387294.72
2024/4/8 8:00,11478610.72,1442123350,5336717.312,144434427.1,6362800.128,6382699.52,1122649.464,433746.208,66768,11389784.17
2024/4/8 9:00,11527473.42,5181299229,9558321.152,476780770.3,4101704.704,4338357.248,1133084.624,436043.304,66066,11450907.9
2024/4/8 10:00,11437644.98,4586297360,17193616.38,1084764587,3896281.088,3603236.864,1126611.048,449259.84,67236,11601664.23
2024/4/8 11:00,11566428.74,2513840374,15319660.54,600248180.7,5208307.712,4795761.664,1124550.632,412955.456,65598,11503311.23
2024/4/8 12:00,11444929.03,962694479.9,14905609.22,351158537.8,6204514.304,6038452.224,1119539.248,483777.608,66612,11514097.46
2024/4/8 13:00,11478699.4,1944949096,15219763.2,414893773.8,5887493.12,5730540.544,1168384.2,363321.832,66066,11407662.35
2024/4/8 14:00,11679619.31,4242386452,10265546.75,808632022.8,4558144.512,4477334.528,1149849.08,441928.432,66924,11626018.65
2024/4/8 15:00,11551155.08,3986825413,5847367.68,659926929.1,4338503.68,3950745.6,1149830.648,384386.912,66612,11570798.15
2024/4/8 16:00,11570498.72,3295967969,8960774.144,260858503.2,4659377.152,4609647.616,1121966.416,416167.072,67002,11633631.96
2024/4/8 17:00,11631848.06,1342198252,6009668.608,215883437.7,4844966.912,5399601.152,1119840.024,469643.328,66846,11569769.62
2024/4/8 18:00,11631959.56,1040064709,5652450.304,53543019.52,5894159.36,5941593.088,1141161.416,377822.08,66690,11665055.74
2024/4/8 19:00,11668325.45,1099002020,4955752.448,48831792.22,5163761.664,5109151.744,1127060.208,418442.68,67236,11611096.14
2024/4/8 20:00,11670223.13,692571865.1,5636240.384,57107165.18,6492225.536,6567705.6,1121817.568,422638.84,65988,11482183.65
2024/4/8 21:00,11518599.44,448410943.5,4502990.848,76407854.05,5404413.952,5534503.936,1125489.296,389601.896,66846,11452826.8
2024/4/8 22:00,11538477.03,308610596.9,3347060.736,63729876.14,6067760.128,6175207.424,1114978.16,445152.24,67236,11395068.93
2024/4/8 23:00,11549682.2,184001733.6,2843963.392,36466870.27,7815058.432,7709685.76,1109245.992,434446.568,64350,11431866.24
2024/4/9 0:00,11730115.14,70039122.94,1413948.416,21838078.98,8553286.656,8244566.016,1241820.952,593990.784,66846,11537509.15
2024/4/9 1:00,11551060.65,32049098.75,338539.52,32806636.15,8690929.664,8769077.248,1201081.368,885109.672,67158,11524143.76
2024/4/9 2:00,11441886.46,17247320.06,252786.688,34875966.46,9061230.592,8663406.592,1116112.456,823958.84,66612,11394827.34
2024/4/9 3:00,11297533.65,19303395.33,41600,24472289.89,9269690.368,9166017.536,1193038.56,793218.36,67080,11200042.18
2024/4/9 4:00,11370026.06,20750815.23,215704.576,18362244.8,9696157.696,9594778.624,1129402.024,863202.248,67002,11349574.95
2024/4/9 5:00,11303041.28,65273298.94,273492.992,20911124.03,9433306.112,9225520.128,1111577.936,834256.32,66690,11299948.56
2024/4/9 6:00,11308985.3,127551473.7,962236.416,26278387.82,8828579.84,8662514.688,1108977.248,509831.52,67002,11263071.64
2024/4/9 7:00,11347549.53,271464218.6,2568164.352,34105280.51,7187544.064,7105846.272,1109363.72,461798.56,67080,11376510.54
2024/4/9 8:00,11432560.14,1543342391,5929100.288,135520727.9,5296964.608,6036004.864,1110915.96,416426.528,66690,11379789.97
2024/4/9 9:00,11540340.24,4492839879,10658505.73,229868020.7,3249210.368,3228719.104,1166032.08,372317.736,67002,11361943.37
2024/4/9 10:00,11499837.44,3894076768,8584973.312,236348712,2909997.056,2989028.352,1139797.944,379175.336,65208,11536265.06
2024/4/9 11:00,11622921.21,2153576923,6642843.648,222724472.3,3546701.824,3414310.912,1145719.76,425650.936,66690,11541925.63
2024/4/9 12:00,11518729.62,1275199488,7067428.864,188783001.6,4313421.824,4340799.488,1147425.464,371831.4,66456,11385886.98
2024/4/9 13:00,11342045.18,2469975294,8808965.12,526491238.6,3327058.944,3462258.688,1124919.448,490718.144,67080,11286705.01
2024/4/9 14:00,11573652.92,4050190860,7913965.568,723944596.5,3496975.36,3730147.328,1158155.112,404604.48,66768,11412224.5
2024/4/9 15:00,11626884.64,3810035499,6037840.896,464591170,2642705.408,2438249.472,1144565.064,367739.48,66768,11575914.75
2024/4/9 16:00,11522917.21,3512964481,5486303.232,410733446.1,2670530.56,2299047.936,1163272.392,425469.024,67002,11603306.94
2024/4/9 17:00,11490643.2,1339406942,5782161.408,185453856.7,3208667.136,3178475.52,1117424.264,397217.808,66768,11368860.92
2024/4/9 18:00,11516798.98,1227142201,5169292.288,127107188.7,3732294.656,3525910.528,1130688.736,419337.696,67002,11432978.44
2024/4/9 19:00,11586764.8,1280811467,5476067.328,124711041,4635251.712,4983425.024,1147543.368,373592.48,66846,11484275.71
2024/4/9 20:00,11589271.82,808845312,4803614.72,140395905,5518085.12,5345507.328,1087343.096,418024.08,66924,11491557.42
2024/4/9 21:00,11544360.96,588100141.1,4153048.064,114339073.9,5889273.856,5432834.048,1125126.296,345185.488,66456,11487362.05
